method,PSNR,SSIM,RMSE
改进复原,29.0153,0.8443,0.0357
维纳滤波,24.2545,0.7345,0.0613
逆滤波,23.1702,0.7161,0.0695
约束最小二乘,14.9024,0.2531,0.186
