experiment,split,image,method,psnr,ssim,rmse
real,eval15,1,input_low,7.219327972717867,0.23567166198253495,0.4355455705428236
real,eval15,1,gamma,9.615639725675338,0.5244610875002272,0.33053542657191076
real,eval15,1,clahe,8.925369763449565,0.46470576245919454,0.3578751242631398
real,eval15,1,retinex,12.851412660812095,0.5650601359494458,0.22773478271050016
real,eval15,1,retinex_bilateral,12.94997009191755,0.6590073989164229,0.2251653169837913
real,eval15,1,improved,15.009457519772006,0.6851239977833838,0.17763442070131077
real,eval15,22,input_low,6.10711974330359,0.18819767101241122,0.49504424127060237
real,eval15,22,gamma,8.176238744613407,0.4408533287853548,0.3901108800267427
real,eval15,22,clahe,7.782542533185497,0.4146416628774055,0.408199880593819
real,eval15,22,retinex,14.52613132900693,0.4995763674045786,0.1877990683933144
real,eval15,22,retinex_bilateral,14.694990774659985,0.6259593589332485,0.18418338962798325
real,eval15,22,improved,16.829116571364402,0.6664640568870923,0.14406025242889275
real,eval15,23,input_low,4.646456099827976,0.07987025073301693,0.5857026581180033
real,eval15,23,gamma,5.8490369592406815,0.2270935926244987,0.509974137396972
real,eval15,23,clahe,5.503697805724711,0.22017942039262337,0.5306584812259847
real,eval15,23,retinex,10.044363665555508,0.31306663182242706,0.31461673279580815
real,eval15,23,retinex_bilateral,10.148512234758195,0.45035580138869946,0.3108668326337398
real,eval15,23,improved,12.813757772493386,0.535751816982205,0.22872419690391568
real,eval15,55,input_low,4.521206124155903,0.07792841768929588,0.5942096408317257
real,eval15,55,gamma,5.690545327111039,0.22006025907543872,0.5193650651325787
real,eval15,55,clahe,5.457470406304,0.2199335477600092,0.5334902413551296
real,eval15,55,retinex,10.919860047128193,0.33075033429554207,0.2844506939679787
real,eval15,55,retinex_bilateral,11.05590984632961,0.4832473385031865,0.2800299660079719
real,eval15,55,improved,13.510206256142563,0.5677285959908617,0.2111007066994758
real,eval15,79,input_low,5.0898851970573675,0.20072778291578894,0.5565519902559306
real,eval15,79,gamma,7.079147509711815,0.4509012200406837,0.4426318130256898
real,eval15,79,clahe,6.6690065833729975,0.3886191818892282,0.46403385911032774
real,eval15,79,retinex,12.007975931609444,0.5310151484202034,0.2509580917681358
real,eval15,79,retinex_bilateral,12.087083593055226,0.6952249990373907,0.2486828410917023
real,eval15,79,improved,17.460815945853394,0.7815381363456341,0.13395508451296953
real,eval15,111,input_low,5.612230983964157,0.19249806479570938,0.5240689758063515
real,eval15,111,gamma,7.60655494754786,0.4442876210182645,0.4165549049043063
real,eval15,111,clahe,6.979475628617831,0.3629025854986918,0.4477403336621817
real,eval15,111,retinex,14.956600207227043,0.519993892547363,0.1787186970840516
real,eval15,111,retinex_bilateral,15.143106439791577,0.7412476724674154,0.1749220981680318
real,eval15,111,improved,19.991549998577508,0.7947374843396079,0.10009733157301852
real,eval15,146,input_low,6.629547831402195,0.26192207273539037,0.46614669395731156
real,eval15,146,gamma,9.119202969245173,0.5418701692302995,0.3499772800150024
real,eval15,146,clahe,8.34817094019286,0.4577738655369781,0.3824647839599217
real,eval15,146,retinex,16.30530964866665,0.6426200205116865,0.1530151800216344
real,eval15,146,retinex_bilateral,16.445151535588394,0.7568309546377728,0.1505713773835424
real,eval15,146,improved,19.666821412860003,0.777443208302596,0.10391037911904956
real,eval15,179,input_low,12.377198154615472,0.43650150410524385,0.240513851092974
real,eval15,179,gamma,16.912260002607464,0.7452206545218503,0.14268785188920538
real,eval15,179,clahe,15.301351585733903,0.6397529767995419,0.17176410892845667
real,eval15,179,retinex,20.670305729566884,0.6919918638721702,0.09257308002884754
real,eval15,179,retinex_bilateral,20.79794109194767,0.7789870153011483,0.09122270485305396
real,eval15,179,improved,12.793771377921315,0.6408752771051593,0.2292511015366974
real,eval15,493,input_low,10.89150797022187,0.20440501131386546,0.2853807017094084
real,eval15,493,gamma,13.009906827304379,0.40681957376172306,0.22361691857638166
real,eval15,493,clahe,12.368357228932396,0.33078729963185166,0.24075878255061936
real,eval15,493,retinex,17.647510357074733,0.4141729536143614,0.13110657802618414
real,eval15,493,retinex_bilateral,17.952283699850966,0.4998400372402719,0.1265860402899638
real,eval15,493,improved,14.839602973759652,0.43007173018053363,0.18114228896632106
real,eval15,547,input_low,8.977614064156992,0.21842689659793713,0.3557290207152734
real,eval15,547,gamma,11.754920217754965,0.5219817770736642,0.25837708195366604
real,eval15,547,clahe,10.93141718838174,0.4522549611125244,0.2840724654983409
real,eval15,547,retinex,18.599505393604506,0.41356830162049874,0.11749644598179668
real,eval15,547,retinex_bilateral,19.028516298145938,0.6319038581748756,0.11183408404430717
real,eval15,547,improved,14.926088554022405,0.6639410511697195,0.1793476011997114
real,eval15,665,input_low,6.816831203860102,0.07987473088453258,0.45620331820950233
real,eval15,665,gamma,8.239751544269133,0.2552151205902737,0.38726872240030247
real,eval15,665,clahe,7.862065492571938,0.2484411729632924,0.404479695546703
real,eval15,665,retinex,13.066142192136416,0.3389480747896347,0.2221738241707857
real,eval15,665,retinex_bilateral,13.268583069535318,0.467297454896565,0.2170555257690175
real,eval15,665,improved,17.9974727993713,0.5511425147323047,0.12592917553829286
real,eval15,669,input_low,6.7474294079994825,0.18900431426393652,0.4598630650248569
real,eval15,669,gamma,8.925606356638152,0.4443659047430529,0.3578653763078769
real,eval15,669,clahe,8.336127382550266,0.374219111783275,0.3829954643813389
real,eval15,669,retinex,18.06084405532983,0.4617028816869418,0.12501375416230318
real,eval15,669,retinex_bilateral,18.54681752098791,0.6802245226316433,0.11821133553283222
real,eval15,669,improved,20.517520031967386,0.7602149015051202,0.09421585602884286
real,eval15,748,input_low,9.961985929326776,0.18884434322351643,0.3176147797757017
real,eval15,748,gamma,12.775767345313415,0.5098083391628737,0.22972678394818738
real,eval15,748,clahe,11.98317533385592,0.4615995376096424,0.25167566992025897
real,eval15,748,retinex,21.701819481908366,0.5321030312355659,0.08220704282167056
real,eval15,748,retinex_bilateral,22.624100217396506,0.7105170451748825,0.07392562231026036
real,eval15,748,improved,17.879908463434553,0.7054294721457554,0.12764522606792697
real,eval15,778,input_low,8.87723039128211,0.08137941382757534,0.35986406419390143
real,eval15,778,gamma,10.628511822916646,0.2750987117024461,0.29415376322142844
real,eval15,778,clahe,10.27476764148104,0.2864968050356372,0.3063808508598014
real,eval15,778,retinex,15.739707046986776,0.40808722762448274,0.16331070275207915
real,eval15,778,retinex_bilateral,16.02288974382624,0.4620450095897081,0.1580722054952426
real,eval15,778,improved,17.31298905872051,0.4914073183372958,0.13625440358257584
real,eval15,780,input_low,12.124347989924066,0.29826304345095195,0.24761822179665477
real,eval15,780,gamma,15.34760337099435,0.5454205857720451,0.17085190732178623
real,eval15,780,clahe,14.242442722879439,0.4498624541305582,0.19403401212062646
real,eval15,780,retinex,20.479547731816737,0.4663526238188009,0.09462864325540696
real,eval15,780,retinex_bilateral,21.225517034706144,0.6630674576215551,0.08684086651223312
real,eval15,780,improved,15.147414808275792,0.5612698114901569,0.1748353549546105
