experiment,split,case,image,method,psnr,ssim,rmse
synthetic,eval15,motion,111,degraded_input,12.052086113404822,0.597445178848181,0.2496868637499243
synthetic,eval15,motion,111,mean_filter,12.051471006682576,0.654680435077507,0.2497045463953461
synthetic,eval15,motion,111,gaussian_filter,12.055682948443671,0.6566189247277229,0.24958348959080406
synthetic,eval15,motion,111,median_filter,12.054365520814212,0.6557201678959854,0.2496213479030679
synthetic,eval15,motion,111,inverse_filter,11.585558552581839,0.19261395195505052,0.26346447999655953
synthetic,eval15,motion,111,wiener_filter,11.789059259345802,0.36819208635219414,0.257363549147993
synthetic,eval15,motion,111,cls_filter,10.123167524474912,0.1579886329850958,0.31177524112327965
synthetic,eval15,motion,111,improved_guided,13.25479509395969,0.6882957020261462,0.21740035318678733
synthetic,eval15,defocus,111,degraded_input,13.079313765597826,0.6432045539037722,0.22183716767848652
synthetic,eval15,defocus,111,mean_filter,13.097187503965614,0.7104803819627111,0.22138114269693007
synthetic,eval15,defocus,111,gaussian_filter,13.102854123373826,0.7086994440177424,0.22123676214263233
synthetic,eval15,defocus,111,median_filter,13.102675928966887,0.7134222510793412,0.22124130094748237
synthetic,eval15,defocus,111,inverse_filter,12.083137461533989,0.18790787365909903,0.24879584714985237
synthetic,eval15,defocus,111,wiener_filter,12.647103349098185,0.38795004657714455,0.23315505327054395
synthetic,eval15,defocus,111,cls_filter,12.252973553825353,0.2504937662900923,0.2439783682103986
synthetic,eval15,defocus,111,improved_guided,13.717076822053452,0.6768070013438133,0.20613235211653685
synthetic,eval15,motion,146,degraded_input,12.095275022759935,0.5131653611430007,0.2484484255227533
synthetic,eval15,motion,146,mean_filter,12.097107574417338,0.5724637835230496,0.24839601332697098
synthetic,eval15,motion,146,gaussian_filter,12.099532608067777,0.5716568772209903,0.248326672748686
synthetic,eval15,motion,146,median_filter,12.099906275513973,0.5711873533787889,0.24831598995146267
synthetic,eval15,motion,146,inverse_filter,11.659053083977273,0.16363064130624838,0.261244614183906
synthetic,eval15,motion,146,wiener_filter,11.902413257380353,0.3122917120371081,0.25402668285902835
synthetic,eval15,motion,146,cls_filter,9.337779872884095,0.0873729638931869,0.3412801322156377
synthetic,eval15,motion,146,improved_guided,14.495019237693423,0.6256090642805586,0.18847295428755093
synthetic,eval15,defocus,146,degraded_input,13.169222840700899,0.5608950585149207,0.21955273824658167
synthetic,eval15,defocus,146,mean_filter,13.188996682037669,0.624556883785164,0.21905348448713333
synthetic,eval15,defocus,146,gaussian_filter,13.194652090354149,0.6223522145944314,0.21891090454059145
synthetic,eval15,defocus,146,median_filter,13.191719042380587,0.6262066902746327,0.21898483877553332
synthetic,eval15,defocus,146,inverse_filter,12.171548768233686,0.16246689767344255,0.24627626674855604
synthetic,eval15,defocus,146,wiener_filter,12.76824595227039,0.3311179027769339,0.22992579796170903
synthetic,eval15,defocus,146,cls_filter,12.378281637228078,0.20849464844761356,0.24048385113510515
synthetic,eval15,defocus,146,improved_guided,14.803545483452647,0.6122922572856762,0.18189582285546982
synthetic,eval15,motion,179,degraded_input,14.262675348753113,0.37600062698252,0.1935825616704907
synthetic,eval15,motion,179,mean_filter,14.257982168552555,0.4101604955800449,0.19368718691602446
synthetic,eval15,motion,179,gaussian_filter,14.265449555913474,0.4108130721264975,0.1935207427437875
synthetic,eval15,motion,179,median_filter,14.258380321834139,0.4064632036031692,0.19367830867501276
synthetic,eval15,motion,179,inverse_filter,13.917194981310852,0.14964704387692185,0.20143746664066048
synthetic,eval15,motion,179,wiener_filter,14.108863894634979,0.24929373570032828,0.19704109180687335
synthetic,eval15,motion,179,cls_filter,13.115645658701824,0.1358995627726679,0.22091119099354806
synthetic,eval15,motion,179,improved_guided,21.347128786317636,0.5898280391216217,0.08563347355413137
synthetic,eval15,defocus,179,degraded_input,15.106440429930172,0.42572866274075505,0.1756620628551526
synthetic,eval15,defocus,179,mean_filter,15.156889871642345,0.4675053702036074,0.17464473857326443
synthetic,eval15,defocus,179,gaussian_filter,15.162772527850732,0.4656713115386944,0.1745264977051461
synthetic,eval15,defocus,179,median_filter,15.144778973084296,0.46518538260702247,0.1748884188468326
synthetic,eval15,defocus,179,inverse_filter,14.130128295823315,0.15434960680162177,0.19655929473738223
synthetic,eval15,defocus,179,wiener_filter,14.819579309166894,0.2828656093596929,0.18156035972651657
synthetic,eval15,defocus,179,cls_filter,14.507477384854987,0.19871553739420758,0.18820282182892487
synthetic,eval15,defocus,179,improved_guided,21.06606026975051,0.5934493139317234,0.08844982673672604
synthetic,eval15,motion,493,degraded_input,14.55319711560141,0.38391650704715374,0.1872147853121124
synthetic,eval15,motion,493,mean_filter,14.52475566495613,0.4040615279437511,0.1878288142106704
synthetic,eval15,motion,493,gaussian_filter,14.540274657009897,0.40624088103098727,0.18749352196969016
synthetic,eval15,motion,493,median_filter,14.527206062349311,0.3977124887216778,0.1877758328420224
synthetic,eval15,motion,493,inverse_filter,14.424511219694134,0.18854137674250884,0.1900091166869935
synthetic,eval15,motion,493,wiener_filter,14.56119615900934,0.28390627713438515,0.18704245410500558
synthetic,eval15,motion,493,cls_filter,13.984398086694082,0.19469034502205432,0.19988494990166647
synthetic,eval15,motion,493,improved_guided,20.44535770423099,0.4329130495331493,0.09500186143369503
synthetic,eval15,defocus,493,degraded_input,15.353259395226587,0.41495626620396314,0.1707406892418915
synthetic,eval15,defocus,493,mean_filter,15.392525769083417,0.4469904269140219,0.16997056245239148
synthetic,eval15,defocus,493,gaussian_filter,15.405175594439875,0.4458617202640644,0.16972320344641473
synthetic,eval15,defocus,493,median_filter,15.387023697143889,0.4427904874272652,0.17007826431847806
synthetic,eval15,defocus,493,inverse_filter,14.404707388899709,0.1831508251311819,0.1904428317733443
synthetic,eval15,defocus,493,wiener_filter,15.146420150861012,0.3013105090962913,0.17485537722600453
synthetic,eval15,defocus,493,cls_filter,14.940688878833079,0.21662749656277935,0.17904638465255285
synthetic,eval15,defocus,493,improved_guided,19.91931013768302,0.44262061328645713,0.10093330474894154
synthetic,eval15,motion,547,degraded_input,12.975442530896855,0.4565821080013812,0.2245059593120752
synthetic,eval15,motion,547,mean_filter,12.979431786281522,0.5033795446538963,0.2244028718901046
synthetic,eval15,motion,547,gaussian_filter,12.982241994025879,0.5043587632234494,0.22433028097409743
synthetic,eval15,motion,547,median_filter,12.981877803019081,0.5015799975118221,0.2243396871244278
synthetic,eval15,motion,547,inverse_filter,12.75474078379733,0.16571824659491705,0.23028357385491804
synthetic,eval15,motion,547,wiener_filter,12.898346158233956,0.299413785968086,0.2265075549537048
synthetic,eval15,motion,547,cls_filter,12.615578874815546,0.2133298271219121,0.2340028011821859
synthetic,eval15,motion,547,improved_guided,23.648317925060308,0.7189508589152332,0.06570283416598252
synthetic,eval15,defocus,547,degraded_input,13.87634965527321,0.504583583915443,0.20238695543648566
synthetic,eval15,defocus,547,mean_filter,13.910377477435162,0.5620339358201142,0.2015956357926589
synthetic,eval15,defocus,547,gaussian_filter,13.914344096706062,0.5592150990676,0.20150359334167187
synthetic,eval15,defocus,547,median_filter,13.906752230576364,0.5624546163956352,0.20167979372142456
synthetic,eval15,defocus,547,inverse_filter,13.111262763261482,0.1626337287033585,0.22102269079581585
synthetic,eval15,defocus,547,wiener_filter,13.623871001766306,0.3243528036669146,0.20835621043030866
synthetic,eval15,defocus,547,cls_filter,13.53344209778735,0.23858379543023148,0.2105367405703895
synthetic,eval15,defocus,547,improved_guided,24.410360577397658,0.7004305871063377,0.0601841278139767
synthetic,eval15,motion,665,degraded_input,12.53236900525586,0.4695053617650136,0.23625529443083612
synthetic,eval15,motion,665,mean_filter,12.531137840144389,0.507835376498479,0.23628878436719947
synthetic,eval15,motion,665,gaussian_filter,12.535286364268153,0.5093786697927349,0.23617595589383553
synthetic,eval15,motion,665,median_filter,12.536797510131317,0.5083180140601642,0.23613487026075639
synthetic,eval15,motion,665,inverse_filter,12.177889445568091,0.15645907631366143,0.24609655130437272
synthetic,eval15,motion,665,wiener_filter,12.346141505962402,0.29623132982479766,0.24137535454447326
synthetic,eval15,motion,665,cls_filter,11.798570197673397,0.1942958928273946,0.25708189357823064
synthetic,eval15,motion,665,improved_guided,18.566222607767003,0.6485014596745792,0.11794753518164519
synthetic,eval15,defocus,665,degraded_input,13.435897040071703,0.5010511854574219,0.21291445540203036
synthetic,eval15,defocus,665,mean_filter,13.46595854373604,0.5528905183788603,0.21217884100532627
synthetic,eval15,defocus,665,gaussian_filter,13.46862661652889,0.5506244216580725,0.21211367535405862
synthetic,eval15,defocus,665,median_filter,13.460990911656337,0.5544664670103651,0.21230022498876291
synthetic,eval15,defocus,665,inverse_filter,12.57760155060933,0.15231521796862502,0.23502817185180472
synthetic,eval15,defocus,665,wiener_filter,13.09704411522687,0.313266098245817,0.22138479733982483
synthetic,eval15,defocus,665,cls_filter,12.874152642663152,0.21324396132426157,0.22713934436640898
synthetic,eval15,defocus,665,improved_guided,18.74109994307178,0.6219532013912393,0.11559658464642228
synthetic,eval15,motion,669,degraded_input,12.180962121723795,0.5487578660831381,0.24600950883639816
synthetic,eval15,motion,669,mean_filter,12.181216038825383,0.6063369081900069,0.2460023172750251
synthetic,eval15,motion,669,gaussian_filter,12.18523413532023,0.6062384845043293,0.24588854280931907
synthetic,eval15,motion,669,median_filter,12.186657435469213,0.6050200560504363,0.2458482539567262
synthetic,eval15,motion,669,inverse_filter,11.880517473952201,0.19083344086644724,0.2546678526151287
synthetic,eval15,motion,669,wiener_filter,12.039078994800956,0.3567232094112576,0.2500610498978591
synthetic,eval15,motion,669,cls_filter,11.458617690442486,0.23264520218429544,0.26734318361656656
synthetic,eval15,motion,669,improved_guided,16.51829865518048,0.7199800764770966,0.14930868386673707
synthetic,eval15,defocus,669,degraded_input,13.123329406956268,0.5999303497629077,0.22071585401850388
synthetic,eval15,defocus,669,mean_filter,13.144321164700681,0.6628096459175721,0.22018307962890432
synthetic,eval15,defocus,669,gaussian_filter,13.149780377060253,0.6609285427458715,0.22004473473009692
synthetic,eval15,defocus,669,median_filter,13.14548467528008,0.6649763570564318,0.22015358717672565
synthetic,eval15,defocus,669,inverse_filter,12.294100493604148,0.1821582447553539,0.2428258822519835
synthetic,eval15,defocus,669,wiener_filter,12.79379008544982,0.36967162634561923,0.22925060777991754
synthetic,eval15,defocus,669,cls_filter,12.608111437986631,0.25189638568681094,0.23420406467527607
synthetic,eval15,defocus,669,improved_guided,16.6861692240663,0.6955999711659998,0.14645072932030295
synthetic,eval15,motion,748,degraded_input,13.242132001580082,0.41441183183483776,0.2177175306558083
synthetic,eval15,motion,748,mean_filter,13.234195755629742,0.4421501296413463,0.21791654878189026
